Disease,Common disease group,Symptoms,Disease Group,Dosha Types
"Urethritis (infectious, noninfectious)",Urinary tract infections,Burning urination; pain during urination (dysuria); urethral discharge; itching; frequency; urgency; suprapubic pain; cloudy or bloody urine,Lower urinary tract infection (UTI),Vata|Pitta|Kapha
Cystitis (acute bacterial cystitis),Urinary tract infections,Burning urination; frequent urination; urgency; suprapubic pain; cloudy/bad-smelling/bloody urine; hesitancy; incomplete voiding,Lower UTI (bladder infection),Pitta|Vata|Kapha
Interstitial cystitis (nonbacterial),Urinary tract infections,Chronic pelvic pain; bladder pressure; frequent urination; urgency; pain during sex,Nonbacterial bladder inflammation,Vata|Pitta
Pyelonephritis (acute bacterial),Urinary tract infections,High fever; chills; flank pain; nausea; vomiting; burning urination; frequency; renal angle tenderness,Upper UTI (kidney infection),Pitta|Vata|Kapha
Chronic pyelonephritis,Urinary tract infections,Vague flank/abdominal pain; malaise; recurrent fever; recurrent UTI symptoms; possible kidney damage,Chronic upper UTI,Pitta|Vata|Kapha
"Prostatitis (acute, chronic)",Urinary tract infections,Urinary frequency; urgency; pain/burning urination; pelvic/genital pain; painful ejaculation; fever (acute); weak urine stream,Prostate infection/inflammation,Vata|Pitta|Kapha
Epididymitis,Urinary tract infections,Scrotal pain; swelling; heaviness; burning urination; discharge; blood in urine; low-grade fever,Epididymis infection/inflammation,Pitta|Kapha
Ureteritis,Urinary tract infections,Flank pain; burning urination; frequency; possible fever,Ureter infection/inflammation,Vata|Pitta
Perinephric abscess,Urinary tract infections,Severe flank pain; fever; chills; swelling; malaise,Kidney/perinephric abscess,Pitta|Kapha|Vata
Renal abscess,Urinary tract infections,Severe flank pain; fever; chills; malaise,Kidney abscess,Pitta|Kapha|Vata
Urethral syndrome,Urinary tract infections,Burning urination; frequency; urgency; pain; no infection on tests,Functional lower urinary tract disorder,Vata|Pitta
Emphysematous cystitis,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; gas in urine; fever,Severe bladder infection (gas-forming),Pitta|Kapha
Emphysematous pyelonephritis,Urinary tract infections,High fever; chills; flank pain; gas in kidney; malaise,Severe kidney infection (gas-forming),Pitta|Kapha
"Fungal urinary tract infections (cystitis, pyelonephritis)",Urinary tract infections,Burning urination; frequency; urgency; discharge; fever (if upper tract),Fungal UTI (lower/upper),Pitta|Kapha
Catheter-associated UTI (CA-UTI),Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge,UTI with catheter,Vata|Pitta|Kapha
Obstructive UTI,Urinary tract infections,Urinary retention; pain; frequency; urgency; recurrent infections,UTI with obstruction,Vata|Pitta|Kapha
Recurrent UTI,Urinary tract infections,Repeated burning urination; frequency; urgency; suprapubic pain,Recurrent lower/upper UTI,Vata|Pitta
Complicated UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; flank pain; systemic symptoms,"UTI with risk factors (obstruction, diabetes, etc.)",Vata|Pitta|Kapha
Uncomplicated UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain,Simple lower UTI,Pitta|Vata
