Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
"Urethritis (infectious, noninfectious)",Urinary tract infections,Burning urination; pain during urination (dysuria); urethral discharge; itching; frequency; urgency; suprapubic pain; cloudy or bloody urine,Lower urinary tract infection (UTI),Vata|Pitta|Kapha,burning urination pain during urination dysuria urethral discharge itching frequency urgency suprapubic pain cloudy or bloody urine,vata|pitta|kapha
Cystitis (acute bacterial cystitis),Urinary tract infections,Burning urination; frequent urination; urgency; suprapubic pain; cloudy/bad-smelling/bloody urine; hesitancy; incomplete voiding,Lower UTI (bladder infection),Pitta|Vata|Kapha,burning urination frequent urination urgency suprapubic pain cloudy bad smelling bloody urine hesitancy incomplete voiding,vata|pitta|kapha
Interstitial cystitis (nonbacterial),Urinary tract infections,Chronic pelvic pain; bladder pressure; frequent urination; urgency; pain during sex,Nonbacterial bladder inflammation,Vata|Pitta,chronic pelvic pain bladder pressure frequent urination urgency pain during sex,vata|pitta
Pyelonephritis (acute bacterial),Urinary tract infections,High fever; chills; flank pain; nausea; vomiting; burning urination; frequency; renal angle tenderness,Upper UTI (kidney infection),Pitta|Vata|Kapha,high fever chills flank pain nausea vomiting burning urination frequency renal angle tenderness,vata|pitta|kapha
Chronic pyelonephritis,Urinary tract infections,Vague flank/abdominal pain; malaise; recurrent fever; recurrent UTI symptoms; possible kidney damage,Chronic upper UTI,Pitta|Vata|Kapha,vague flank abdominal pain malaise recurrent fever recurrent uti symptoms possible kidney damage,vata|pitta|kapha
"Prostatitis (acute, chronic)",Urinary tract infections,Urinary frequency; urgency; pain/burning urination; pelvic/genital pain; painful ejaculation; fever (acute); weak urine stream,Prostate infection/inflammation,Vata|Pitta|Kapha,urinary frequency urgency pain burning urination pelvic genital pain painful ejaculation fever acute weak urine stream,vata|pitta|kapha
Epididymitis,Urinary tract infections,Scrotal pain; swelling; heaviness; burning urination; discharge; blood in urine; low-grade fever,Epididymis infection/inflammation,Pitta|Kapha,scrotal pain swelling heaviness burning urination discharge blood in urine low grade fever,pitta|kapha
Ureteritis,Urinary tract infections,Flank pain; burning urination; frequency; possible fever,Ureter infection/inflammation,Vata|Pitta,flank pain burning urination frequency possible fever,vata|pitta
Perinephric abscess,Urinary tract infections,Severe flank pain; fever; chills; swelling; malaise,Kidney/perinephric abscess,Pitta|Kapha|Vata,severe flank pain fever chills swelling malaise,vata|pitta|kapha
Renal abscess,Urinary tract infections,Severe flank pain; fever; chills; malaise,Kidney abscess,Pitta|Kapha|Vata,severe flank pain fever chills malaise,vata|pitta|kapha
Urethral syndrome,Urinary tract infections,Burning urination; frequency; urgency; pain; no infection on tests,Functional lower urinary tract disorder,Vata|Pitta,burning urination frequency urgency pain no infection on tests,vata|pitta
Emphysematous cystitis,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; gas in urine; fever,Severe bladder infection (gas-forming),Pitta|Kapha,burning urination frequency urgency suprapubic pain gas in urine fever,pitta|kapha
Emphysematous pyelonephritis,Urinary tract infections,High fever; chills; flank pain; gas in kidney; malaise,Severe kidney infection (gas-forming),Pitta|Kapha,high fever chills flank pain gas in kidney malaise,pitta|kapha
"Fungal urinary tract infections (cystitis, pyelonephritis)",Urinary tract infections,Burning urination; frequency; urgency; discharge; fever (if upper tract),Fungal UTI (lower/upper),Pitta|Kapha,burning urination frequency urgency discharge fever if upper tract,pitta|kapha
Catheter-associated UTI (CA-UTI),Urinary tract infections,Burning urination; frequency; urgency; fever; suprapubic pain; discharge,UTI with catheter,Vata|Pitta|Kapha,burning urination frequency urgency fever suprapubic pain discharge,vata|pitta|kapha
Obstructive UTI,Urinary tract infections,Urinary retention; pain; frequency; urgency; recurrent infections,UTI with obstruction,Vata|Pitta|Kapha,urinary retention pain frequency urgency recurrent infections,vata|pitta|kapha
Recurrent UTI,Urinary tract infections,Repeated burning urination; frequency; urgency; suprapubic pain,Recurrent lower/upper UTI,Vata|Pitta,repeated burning urination frequency urgency suprapubic pain,vata|pitta
Complicated UTI,Urinary tract infections,Burning urination; frequency; urgency; fever; flank pain; systemic symptoms,"UTI with risk factors (obstruction, diabetes, etc.)",Vata|Pitta|Kapha,burning urination frequency urgency fever flank pain systemic symptoms,vata|pitta|kapha
Uncomplicated UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain,Simple lower UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain,vata|pitta
Uropathogenic Escherichia coli (UPEC) infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI (lower/upper),Pitta|Vata,burning urination frequency urgency suprapubic pain fever if upper tract,vata|pitta
Klebsiella pneumoniae UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain fever if upper tract,vata|pitta
Proteus mirabilis UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain fever if upper tract,vata|pitta
Pseudomonas aeruginosa UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain fever if upper tract,vata|pitta
Enterococcus species UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; fever (if upper tract),Bacterial UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain fever if upper tract,vata|pitta
Staphylococcus saprophyticus infection,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain,Bacterial UTI,Pitta|Vata,burning urination frequency urgency suprapubic pain,vata|pitta
Staphylococcus aureus UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy or bloody urine; fever (if upper tract); possible abscess formation,Bacterial UTI (lower or upper),Pitta|Vata|Kapha,burning urination frequency urgency suprapubic pain cloudy or bloody urine fever if upper tract possible abscess formation,vata|pitta|kapha
Group B Streptococcus UTI,Urinary tract infections,Burning urination; frequency; urgency; suprapubic pain; cloudy urine; fever (if upper tract); may be asymptomatic,Bacterial UTI,Pitta|Vata|Kapha,burning urination frequency urgency suprapubic pain cloudy urine fever if upper tract may be asymptomatic,vata|pitta|kapha
